,term
1799,Dessert lacté aux abricots
1800,Flanc vanille avec sauce caramel
1801,Vanilla flan with caramel sauce
1802,Lait de consommation
1803,Non fermented milk products
1804,Raw Milk
1805,Lait cru
1806,Raw goat milk
1807,Lait de chèvre cru
1808,Skimmed milk
1809,Lait écrémé
1810,Lait écrémé stérilisé
1811,Sterilised skimmed milk
1812,Lait écrémé pasteurisé
1813,Pasteurised skimmed milk
1814,Thickened milk shakes enzymatically
1815,Lait aromatisé emprésurés
1816,Milk shakes
1817,Lait aromatisé
1818,Lait reconstitué arômatisé aux fruits
1819,Reconstituted milk fruit flavoured
1820,Lait de conserve
1821,Conserved milk
1822,Lait concentré
1823,Evaporated Milk
1824,Substitut lait maternel
1825,Maternal milk substitute
1826,Lait en poudre (additifs)
1827,Dried milk
1828,Lait écrémé en poudre sucré
1829,Skimmed milk dried and sweetened
1830,Infant milk powder
1831,Lait infantile en poudre
1832,Reconstituted milk
1833,Lait en poudre stérile et reconstitué
1834,Dried milk whole
1835,Lait entier en poudre
1836,Lait écrémé en poudre
1837,Skimmed milk dried
1838,Lait écrémé concentré
1839,Condensed Milk
1840,Lait aromatisé gélifiés
1841,Thickened milk shakes gellifiant
1842,Lait demi écrémé
1843,Semi skimmmed milk
1844,Lait demi écrémé pasteurisé
1845,Pasteurized Semi skimmmed milk
1846,Lait demi écrémé stérilisé
1847,Sterilised Semi skimmmed milk
1848,Lait stérilisé
1849,Sterilized milk
1850,Whole milk
1851,Lait entier
1852,Lait entier stérilisé
1853,Sterilized whole milk
1854,Lait entier pasteurisé
1855,Pasteurized whole milk
1856,Lait infantile
1857,Infant milk
1858,Margarine
1859,Margarine
1860,Milk
1861,Lait
1862,Ice creams and sorbets
1863,Glaces et sorbets
1864,Crèmes glacées
1865,Ice cream
1866,Fromage
1867,Cheese
1868,Colby
1869,Cheese Colby
1870,Fromage blanc
1871,Fromage blanc
1872,Fresh cheese
1873,Fresh cheese
1874,Fromage crémeux
1875,Cream cheese
1876,Fromage frais pasteurisé
1877,Fresh pasteurised cheese
1878,Fromage sans croûte
1879,Cheese rindless
1880,Mozarella
1881,Mozarella
1882,Cheddar
1883,Cheese cheddar
1884,Chicken cottage
1885,Cottage au poulet
1886,Fromage Parmesan
1887,Cheese Parmesan
1888,Fromage Snellina
1889,Cheese Snellina
1890,Cheese Co Jack (mix of Colby and Monterey Jack)
1891,Co Jack (mélange de Colby et Monterey)
1892,Lait caillé
1893,Junket
1894,Fromage fondu
1895,Processed cheese
1896,Cheese hard
1897,Fromage à pâte dure
1898,Cheese swiss emmental
1899,Fromage emmental suisse
1900,Fromage type Bonbel
1901,Cheese wax packed Edam type
1902,Cheese Brie
1903,Brie
1904,Fromage à pâte persillée
1905,Cheese Blue veined
1906,Cheese soft
1907,Fromage à pâte molle
1908,Fromage à pâte molle croute fleurie
1909,Cheese soft with bloomy rind Brie Camembert type
1910,Camembert
1911,Camembert
1912,Cheese Crescenza
1913,Fromage Crescenza
1914,Cheese soft with washed rind Munster type
1915,Fromage à pâte molle croûte lavée
1916,Cheese Casatella
1917,Fromage Casatella
1918,Munster
1919,Cheese Munster
1920,Fromage type Havarti
1921,Cheese Havarti
1922,Fromage veiné
1923,Cheese veined 
1924,Fromage Gorgonzola
1925,Cheese Gorgonzola
1926,Fromage type Monterey Jack
1927,Cheese Monterey Jack
1928,Cheese aged Monterey
1929,Fromage Monterey
1930,Fromage Taleggio
1931,Cheese Taleggio
1932,Cheese Spun paste Mozzarelle type
1933,Fromage à pâte filée
1934,Fromage à pâte pressée
1935,Cheese pressed curd
1936,Cheese pressed curd uncooked
1937,Fromage à pâte pressée non cuite
1938,Cheese Portsalut type
1939,Fromage type Portsalut
1940,Fromage à pâte pressée cuite
1941,Cheese pressed curd cooked
1942,Edam
1943,Cheese Edam
1944,Cheese Feta
1945,Feta
1946,Cheese Brick
1947,Brick au fromage
1948,Fromage à pâte semi-dure
1949,Cheese semi-hard
1950,Yoghurts and fermented milks
1951,Yaourts et laits fermentés
1952,Yoghurt with fruit
1953,Yaourt aux fruits
1954,Whey
1955,Whey
1956,Petit lait
1957,Petit lait
1958,Yaourt
1959,Yoghurt
1960,Milk permeate ultrafiltrate
1961,Lait:perméat
1962,Lait fermenté
1963,Fermented milk
1964,Environment and others
1965,Environnement et divers
1966,Mammelles de vaches
1967,Cow udder
1968,Animal feed
1969,Aliments pour animaux
1970,Synthetic products
1971,Produit synthétique
1972,Used litter
1973,litière utilisée
1974,Ensilage
1975,Ensilage
1976,Poudre calorique aromatisée
1977,Flavoured sugar
1978,Eau de process
1979,Process Water
1980,Hospital food
1981,Aliment hospitalier
1982,Supplément diététique
1983,Health supplement
1984,Surgelés
1985,Deep frozen foods
1986,Fécès
1987,Faeces
1988,Silage
1989,Fourage
1990,Baby foods
1991,Aliments pour bébés
1992,Unused litter
1993,litière inutilisée
1994,concentrés
1995,Concentrates
1996,Air
1997,Air
1998,Bottled milk
1999,Lait en bouteille
2000,Impact_factor_component
2001,uncategorized
2002,7S
2003,AlOx
2004,C50
2005,1-decyl-2-methyl-3-octadecylimidazolium bromide
2006,2-(acryloyloxy)ethyl-trimethylammonium chloride
2007,MEKP
2008,11S
2009,ZrP nanoplatelets
2010,ZrP-100
2011,TiO2
2012,K2
2013,1-methyl-2-pyrrolidinone
2014,BUR
2015,3-glycidyloxypropyltrimethoxysilane
2016,(acryloyloxy) ethyl alkylammonium cations
2017,ZrP-1000
2018,DGEBA
2019,hydroxyl
2020,3-aminopropyltriethoxysilane
2021,"4,4’-diaminodiphenyl sulfone"
2022,TMCS modified MCM-41 silica
2023,TMCS MCM-41
2024,PSF
2025,UE400
2026,NaOH
2027,TMCS
2028,MCM41/PSF
2029,M2(HT)2-140
2030,CL-UE400
2031,"2,2- azobisisobutyronitrile"
2032,"4,4’-Diphenylmethane diisocyanate"
2033,NMP
2034,H2SO4
2035,MMA
2036,AIBN
2037,C20H42N2O5S
2038,PE-g-MA
2039,vitamin C
2040,2–2-diphenyl-1-picryhydrazyl
2041,CL120-K2
2042,MCM-41
2043,1-decyl-2-methylimidazole
2044,TiO2/HDPE
2045,CHCl3
2046,1-methyl-2-pyrrolidone
2047,α-tocopherol
2048,C16H33(CH3)3NBr
2049,"1,4-Butanediol"
2050,"1,4-Butanediol"
2051,Solvent
2052,aqueous ethanol
2053,Ethanol
2054,lactide monomer
2055,ethyl alcohol
2056,deionised water
2057,Anhydrous chloroform
2058,plasticisers
2059,hydroalcoholic acid chitosan solution
2060,neutral detergent fibres
2061,degassed distilled and deionized water
2062,distilled water
2063,Olive pomace
2064,Chloroform
2065,hot water
2066,Component
2067,ethylene glycol
2068,cocamidopropylhydroxysultaine
2069,PU/CL-UE400S60
2070,tetraethoxysilane
2071,PMMA nanocomposites
2072,amylose
2073,amylopectin
2074,Sorbitol
2075,Dimethyl formamide
2076,Dimethyl formamide
2077,Dimethyl formamide
2078,pectin
2079,Raw bananas cv.
2080,Lignocellulosic fibres
2081,"Two-tailed quaternary ammonium surfactant, dimethyl bis (hydrogenated-tallow) ammonium chloride"
2082,polymer
2083,polymers of intrinsic microporosity
2084,Polymerization
2085,polymer of intrinsic microporosity
2086,nano SiC
2087,zinc acetate
2088,nano boron nitride
2089,titanium dioxide
2090,methyl tallow bis-2-hydroxyethyl quaternary ammonium chloride
2091,Nanoclay
2092,nano-clay solution
2093,Hexamethylene diisocyanate
2094,Hexamethylene diisocyanate
2095,Hexamethylene diisocyanate
2096,Silicon
2097,silicon carbide loading
2098,Silicon Carbide nano
2099,silicon carbide
2100,clear PET bottle
2101,chlorophyll
2102,dried composite
2103,PSF MMMs
2104,silver
2105,silver nanoparticles
2106,Glycerol
2107,montmorillonite layered silicate
2108,A. pavonina
2109,A. pavonina galactomannan
2110,hydrolysis of tetraethoxysilane
2111,Silica
2112,Silica nano particles
2113,Silica nano particles
2114,Silica particles
2115,methacrylate monomer
2116,boron nitride
2117,Isplen
2118,Sodium chloride
2119,SSPS
2120,Chitosan
2121,aqueous chitosan solution
2122,hydrophilic chitosan layer
2123,chitosan coated polyethylene
2124,chitosan coatings
2125,chitosan coatings
2126,chitosan-coated greaseproof paper
2127,uncoated PP film
2128,Clear-Lite^®
2129,CN-C34
2130,nanoplatelet
2131,Polyethylene
2132,Polyethylene
2133,Polyethylene glycol
2134,Polyethylene glycol
2135,Polyethylene glycol 400
2136,Polyethylene glycol 400
2137,Sodium bicarbonate
2138,pre-intercalated compound
2139,low viscosity polyester resin
2140,bioplastics
2141,Buthylated hydroxytoluene
2142,protein
2143,surfactant modified cellulose nanocrystals
2144,Butyl methacrylate
2145,surfactant-modified cellulose nanocrystals
2146,methyl ethyl ketone peroxide
2147,dimethyl terephthalate
2148,crosslinked polyester resin
2149,Methyl tallow bis-2-hydroxyethyl quaternary ammonium chloride modified montmorillonite
2150,Magnesium nitrate
2151,Polypropylene glycol
2152,biobased polymers
2153,PP-g-MA
2154,calcined MCM-41 silica
2155,Fish gelatin
2156,poly(n-butylacrylate)
2157,modified s-CNC
2158,polypropylene cast film
2159,toluene
2160,Octadecylamine
2161,alkaline ammonia solution
2162,M2(HT)2-140 organoclay
2163,Brewing spent grains
2164,Modified cellulose nanocrystals
2165,Poly-l-lactide
2166,Surlyn^® ionomer
2167,Isotactic polypropylene
2168,nanocrystals
2169,OCN-MDEA-NCO
2170,nano-sized MCM-41 silica
2171,nitrocellulose lacquer
2172,C. pulcherima
2173,C. pulcherima
2174,"N,N-Dimethyl formamide"
2175,Cellulose
2176,cellulose/BN nanobiocomposites
2177,cellulose based nanobiocomposites
2178,biopolymer cellulose
2179,Cellulose nanobiocomposites
2180,cellulose microfibres
2181,Cellulose/SiC nanobiocomposites
2182,Cellulose nanocrystal
2183,Cellulose/silicon carbide (cellulose/SiC) nanobiocomposites
2184,benzoyl peroxide
2185,Microcrystalline cellulose
2186,Diglycidyl ether of bisphenol A
2187,octadecylbromide
2188,soy protein
2189,soy flour
2190,Soluble soybean polysaccharide
2191,Polyethersulfone
2192,Jeffamine^®M600
2193,[2-(acryloyloxy)ethyl]-trimethylammonium chloride
2194,Clay
2195,Clay
2196,Organoclay
2197,organo-montmorillonite
2198,organically modified clay
2199,organically modified montmorillonite
2200,organically modified montmorillonite
2201,organically modified montmorillonite
2202,organically modified montmorillonite
2203,organically modified montmorillonite clay
2204,montmorillonite
2205,montmorillonite
2206,montmorillonite
2207,montmorillonite organoclay
2208,MMT nanoclays
2209,purified sodium montmorillonite
2210,Na-montmorillonite
2211,Sodium montmorillonite
2212,MMT intercalated with octadecylamine
2213,Montmorillonite CL120
2214,imidazolium treated montmorillonite
2215,montmorillonite layered
2216,dilute CNC suspension
2217,Nano-sized mesoporous MCM-41 silica
2218,Cabosil
2219,Banana flour
2220,Banana aqueous solutions
2221,prepromoted polyester resin
2222,high-density polyethylene
2223,N-methyl diethanol amine
2224,Galactomannan
2225,Poly(methyl methacrylate)
2226,Poly(methyl methacrylate)
2227,cocoamphodipropionate
2228,Poly(ethylene adipate)diol
2229,Pristine
2230,pristine montmorillonite
2231,olive mills
2232,organifier UE400
2233,methyl cellulose
2234,methyl cellulose
2235,MC
2236,MC
2237,methylcellulose-based edible films
2238,MCM-41/PSF MMM
2239,MCM-41/PSF MMMs
2240,plasticiser
2241,monoamine
2242,Carrot puree
2243,sodium ionomer of poly(ethylene-co-methacrylic acid)
2244,lignin
2245,lignin alkali
2246,DL-α-tocopherol
2247,Dialkyl imidazolium salt
2248,thiobarbituric acid
2249,Cloisite
2250,Cloisite 20A
2251,Cloisite 6A
2252,Cloisite 15A
2253,Cloisite 30B
2254,Cloisite 30B
2255,Cloisite Na^+
2256,Cloisite Na^+
2257,Cloisite Na^+
2258,surfactant modified cellulose nanocrystals s-CNC
2259,Ethylene glycol anhydrous
2260,methyl methacrylate
2261,quaternary ammonium salt
2262,sodium sulphite
2263,tetra-n-butyl ammonium hydroxide
2264,Poly(methyl metacrylate)/montmorillonite
2265,methylene diisocyanate
2266,poly(3-hydroxybutyrate-co-valerate)
2267,poly(3-hydroxybutyrate-co-valerate)
2268,polybenzimidazole
2269,carboxylmethyl cellulose
2270,Greaseproof papers
2271,methylene chloride
2272,CZ film
2273,corn–zein coating
2274,OMMT-polypropylene
2275,OMMT-polypropylene
2276,OMMT-polypropylene
2277,OMMT-polypropylene
2278,fibres
2279,potato starch
2280,Native potato starch
2281,microfibres
2282,corn starch
2283,corn starch
2284,neat starch
2285,Starch powder
2286,Wheat straw fibres
2287,wheat straw
2288,Corn zein
2289,Corn zein
2290,Corn zein
2291,heat sealable corn zein
2292,dibutyltindilauryate
2293,dibutyltindilauryate
2294,dibutyltindilauryate
2295,gelatin
2296,gelatin
2297,Gelatin 200 bloom-fish
2298,carbon black/HDPE
2299,Nanofil
2300,Nanofil^®757
2301,polyol
2302,polyoxyalkyleneamine
2303,dimethyldioctadecylammonium
2304,nanosized MCM-41 silica
2305,Hydrophobic fumed silica
2306,mesoporous MCM-41 nanoparticles
2307,poorly exfoliated ZrP nanoplatelets
2308,isocyanate-terminated
2309,isocyanate-terminated
2310,Silicon carbide nano powder
2311,fumed silica
2312,fumed silica-filled nanocomposites
2313,un-modified CNC
