,Relation,Concept,OntoProcess
117,ff_h2o_solubility_relation_b,temperature,http://opendata.inra.fr/resources/hSC9z#temperature
118,ff_h2o_solubility_relation_b,ff_b,http://opendata.inra.fr/resources/hSC9z#ff_b
119,argumentation,default_quantity_result,http://opendata.inra.fr/resources/hSC9z#default_quantity_result
120,matrix_properties_succinic_acid_qty,succinic_acid_qty,http://opendata.inra.fr/resources/hSC9z#succinic_acid_qty
121,reliability_guidelines_relation,default_quantity_result,http://opendata.inra.fr/resources/hSC9z#default_quantity_result
122,matrix_properties_aw,aw,http://opendata.inra.fr/resources/hSC9z#aw
123,melting_point_temperature_relation,heating_ramp,http://opendata.inra.fr/resources/hSC9z#heating_ramp
124,melting_point_temperature_relation,melting_point_temperature,http://opendata.inra.fr/resources/hSC9z#melting_point_temperature
125,melting_point_temperature_relation,melting_point_temperature_number_of_repetitions,http://opendata.inra.fr/resources/hSC9z#melting_point_temperature_number_of_repetitions
126,matrix_properties_citric_acid_qty,citric_acid_qty,http://opendata.inra.fr/resources/hSC9z#citric_acid_qty
127,diffusivity_relation,aw,http://opendata.inra.fr/resources/hSC9z#aw
128,diffusivity_relation,temperature,http://opendata.inra.fr/resources/hSC9z#temperature
129,diffusivity_relation,diffusivity,http://opendata.inra.fr/resources/hSC9z#diffusivity
130,ff_h2o_solubility_relation_a,temperature,http://opendata.inra.fr/resources/hSC9z#temperature
131,ff_h2o_solubility_relation_a,ff_a,http://opendata.inra.fr/resources/hSC9z#ff_a
132,crystallinity_relation,crystallinity,http://opendata.inra.fr/resources/hSC9z#crystallinity
133,gab_h2o_solubility_relation_c,gab_c,http://opendata.inra.fr/resources/hSC9z#gab_c
134,gab_h2o_solubility_relation_c,temperature,http://opendata.inra.fr/resources/hSC9z#temperature
135,matrix_properties_lactic_acid_qty,lactic_acid_qty,http://opendata.inra.fr/resources/hSC9z#lactic_acid_qty
136,matrix_properties_protein_qty,protein_qty,http://opendata.inra.fr/resources/hSC9z#protein_qty
137,respiration_properties,default_quantity_result,http://opendata.inra.fr/resources/hSC9z#default_quantity_result
138,matrix_properties_water_content,water_content,http://opendata.inra.fr/resources/hSC9z#water_content
139,other_matrix_properties,default_quantity_result,http://opendata.inra.fr/resources/hSC9z#default_quantity_result
140,matrix_properties_salt_qty,salt_qty,http://opendata.inra.fr/resources/hSC9z#salt_qty
141,solubility,default_quantity_result,http://opendata.inra.fr/resources/hSC9z#default_quantity_result
